"","State.UTs_Code","District_Code","CD.Block_Code","Town.Village_Code","Ward_Code","EB_Code","State.UTs_Name","District_Name","Level","Name","Total.Rural.Urban","No.of.Households","Total.Population.Person","Total.Population.Male","Total.Population.Female","Population.in.the.age.group.0.6.Person","Population.in.the.age.group.0.6.Male","Population.in.the.age.group.0.6.Female","Scheduled.Castes.population.Person","Scheduled.Castes.population.Male","Scheduled.Castes.population.Female","Scheduled.Tribes.population.Person","Scheduled.Tribes.population.Male","Scheduled.Tribes.population.Female","Literates.Population.Person","Literates.Population.Male","Literates.Population.Female","Illiterate.Persons","Illiterate.Male","Illiterate.Female","Total.Worker.Population.Person","Total.Worker.Population.Male","Total.Worker.Population.Female","Main.Working.Population.Person","Main.Working.Population.Male","Main.Working.Population.Female","Main.Cultivator.Population.Person","Main.Cultivator.Population.Male","Main.Cultivator.Population.Female","Main.Agricultural.Labourers.Population.Person","Main.Agricultural.Labourers.Population.Male","Main.Agricultural.Labourers.Population.Female","Main.Household.Industries.Population.Person","Main.Household.Industries.Population.Male","Main.Household.Industries.Population.Female","Main.Other.Workers.Population.Person","Main.Other.Workers.Population.Male","Main.Other.Workers.Population.Female","Marginal.Worker.Population.Person","Marginal.Worker.Population.Male","Marginal.Worker.Population.Female","Marginal.Cultivator.Population.Person","Marginal.Cultivator.Population.Male","Marginal.Cultivator.Population.Female","Marginal.Agriculture.Labourers.Population.Person","Marginal.Agriculture.Labourers.Population.Male","Marginal.Agriculture.Labourers.Population.Female","Marginal.Household.Industries.Population.Person","Marginal.Household.Industries.Population.Male","Marginal.Household.Industries.Population.Female","Marginal.Other.Workers.Population.Person","Marginal.Other.Workers.Population.Male","Marginal.Other.Workers.Population.Female","Marginal.Worker.Population.3_6.Person","Marginal.Worker.Population.3_6.Male","Marginal.Worker.Population.3_6.Female","Marginal.Cultivator.Population.3_6.Person","Marginal.Cultivator.Population.3_6.Male","Marginal.Cultivator.Population.3_6.Female","Marginal.Agriculture.Labourers.Population.3_6.Person","Marginal.Agriculture.Labourers.Population.3_6.Male","Marginal.Agriculture.Labourers.Population.3_6.Female","Marginal.Household.Industries.Population.3_6.Person","Marginal.Household.Industries.Population.3_6.Male","Marginal.Household.Industries.Population.3.6.Female","Marginal.Other.Workers.Population.Person.3_6.Person","Marginal.Other.Workers.Population.Person.3_6.Male","Marginal.Other.Workers.Population.Person.3_6.Female","Marginal.Worker.Population.0_3.Person","Marginal.Worker.Population.0_3.Male","Marginal.Worker.Population.0_3_Female","Marginal.Cultivator.Population.0_3.Person","Marginal.Cultivator.Population.0_3.Male","Marginal.Cultivator.Population.0_3_Female","Marginal.Agriculture.Labourers.Population.0_3.Person","Marginal.Agriculture.Labourers.Population.0_3.Male","Marginal.Agriculture.Labourers.Population.0_3.Female","Marginal.Household.Industries.Population.0_3.Person","Marginal.Household.Industries.Population.0_3.Male","Marginal.Household.Industries.Population.0_3.Female","Marginal.Other.Workers.Population.0_3.Person","Marginal.Other.Workers.Population.0_3.Male","Marginal.Other.Workers.Population.0_3.Female","Non.Working.Population.Person","Non.Working.Population.Male","Non.Working.Population.Female","GenderEqualityRatio","BackwardClassRatio","FemaleLiteracyRatio","UnemployedRatio","FulltimeWorkerRatio","ChildLabourRatio","MarginalWorkerRatio","Cluster"
"525",29,572,113,613260,0,0,"KARNATAKA","Bangalore","VILLAGE","Heelalige","Rural",1134,4077,2217,1860,455,230,225,694,362,332,148,87,61,3007,1742,1265,1070,475,595,2148,1452,696,1985,1360,625,138,109,29,56,29,27,49,36,13,1742,1186,556,163,92,71,11,5,6,4,3,1,3,2,1,145,82,63,137,72,65,9,5,4,3,2,1,2,1,1,123,64,59,26,20,6,2,0,2,1,1,0,1,1,0,22,18,4,1929,765,1164,0.460061782877317,0.206524405199902,0.3102771645818,0.473142016188374,0.973755212165808,0.0719329214474846,0.0799607554574442,"4"
"526",29,572,113,613261,0,0,"KARNATAKA","Bangalore","VILLAGE","Chandapura","Rural",1240,4562,2461,2101,584,290,294,502,250,252,60,24,36,3428,1934,1494,1134,527,607,2252,1677,575,2133,1622,511,131,98,33,265,210,55,70,51,19,1667,1263,404,119,55,64,18,8,10,13,6,7,16,2,14,72,39,33,118,54,64,18,8,10,13,6,7,16,2,14,71,38,33,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2310,784,1526,0.465410027205597,0.123191582639193,0.327487943884261,0.506356861025866,0.9351161771153,0.0462495141857754,0.052170100832968,"4"
"527",29,572,113,613262,0,0,"KARNATAKA","Bangalore","VILLAGE","Chandrapura  -Chatrakane","Rural",1695,5934,3031,2903,700,335,365,429,219,210,96,48,48,4822,2544,2278,1112,487,625,2529,1932,597,2396,1854,542,74,57,17,24,18,6,16,11,5,2282,1768,514,133,78,55,17,4,13,0,0,0,4,2,2,112,72,40,129,75,54,17,4,13,0,0,0,2,1,1,110,70,40,4,3,1,0,0,0,0,0,0,2,1,1,2,2,0,3405,1099,2306,0.492613807657522,0.0884732052578362,0.383889450623525,0.57381193124368,0.807549713515335,0.0400964727163099,0.0448264239973037,"4"
"528",29,572,113,613263,0,0,"KARNATAKA","Bangalore","VILLAGE","Kittaganahalli","Rural",2064,7280,3983,3297,815,439,376,868,470,398,201,102,99,5465,3135,2330,1815,848,967,4073,2785,1288,3678,2538,1140,88,68,20,50,38,12,91,64,27,3449,2368,1081,395,247,148,11,8,3,4,2,2,5,5,0,375,232,143,352,228,124,11,8,3,4,2,2,4,4,0,333,214,119,43,19,24,0,0,0,0,0,0,1,1,0,42,18,24,3207,1198,2009,0.453736874613959,0.146840659340659,0.320054945054945,0.440521978021978,1.01043956043956,0.0975911056207536,0.108516483516484,"4"
"529",29,572,113,613264,0,0,"KARNATAKA","Bangalore","VILLAGE","Banahalli","Rural",1673,5819,3164,2655,669,329,340,558,295,263,157,79,78,4476,2609,1867,1343,555,788,3032,2181,851,2495,1875,620,131,94,37,35,25,10,61,52,9,2268,1704,564,537,306,231,17,7,10,10,9,1,7,4,3,503,286,217,532,304,228,16,7,9,10,9,1,7,4,3,499,284,215,5,2,3,1,0,1,0,0,0,0,0,0,4,2,2,2787,983,1804,0.461621454993835,0.122873345935728,0.320845506100705,0.478948272899124,0.857535659047946,0.165536374845869,0.184567795153807,"4"
"530",29,572,113,613265,0,0,"KARNATAKA","Bangalore","VILLAGE","Iggalur","Rural",1272,4702,2454,2248,530,270,260,900,467,433,87,48,39,3607,1980,1627,1095,474,621,2226,1587,639,1970,1433,537,192,158,34,309,229,80,100,56,44,1369,990,379,256,154,102,15,5,10,15,9,6,15,6,9,211,134,77,245,146,99,15,5,10,12,6,6,15,6,9,203,129,74,11,8,3,0,0,0,3,3,0,0,0,0,8,5,3,2476,867,1609,0.479357798165138,0.209910676307954,0.346022968949383,0.526584432156529,0.837941301573798,0.0978593272171254,0.108889834113143,"4"
"531",29,572,113,613266,0,0,"KARNATAKA","Bangalore","VILLAGE","Thirumagondanahalli","Rural",567,2107,1095,1012,247,126,121,598,295,303,83,43,40,1508,841,667,599,254,345,1064,706,358,862,595,267,140,111,29,90,50,40,23,15,8,609,419,190,202,111,91,17,8,9,61,38,23,4,2,2,120,63,57,197,109,88,17,8,9,61,38,23,4,2,2,115,61,54,5,2,3,0,0,0,0,0,0,0,0,0,5,2,3,1043,389,654,0.481308411214953,0.323208353108685,0.31656383483626,0.495016611295681,0.818224964404366,0.171622769753611,0.191741813004271,"4"
"532",29,572,113,613267,0,0,"KARNATAKA","Bangalore","VILLAGE","Balagaranahalli","Rural",1464,5447,3358,2089,583,270,313,489,267,222,121,73,48,4215,2807,1408,1232,551,681,3145,2590,555,2987,2448,539,62,49,13,18,13,5,1,0,1,2906,2386,520,158,142,16,8,8,0,1,1,0,1,0,1,148,133,15,154,140,14,8,8,0,1,1,0,0,0,0,145,131,14,4,2,2,0,0,0,0,0,0,1,0,1,3,2,1,2302,768,1534,0.398341625207297,0.111988250413071,0.25849091242886,0.422617954837525,1.09675050486506,0.0524046434494196,0.0580135854598862,"2"
"533",29,572,113,613268,0,0,"KARNATAKA","Bangalore","VILLAGE","Neralur","Rural",1500,5608,3217,2391,694,325,369,542,289,253,128,66,62,4292,2657,1635,1316,560,756,2797,2272,525,2646,2145,501,133,121,12,51,32,19,9,8,1,2453,1984,469,151,127,24,15,12,3,22,21,1,1,0,1,113,94,19,145,122,23,14,11,3,21,20,1,0,0,0,110,91,19,6,5,1,1,1,0,1,1,0,1,0,1,3,3,0,2811,945,1866,0.437956204379562,0.119472182596291,0.291547788873039,0.501248216833096,0.943651925820257,0.047921294827039,0.0538516405135521,"4"
"534",29,572,113,613269,0,0,"KARNATAKA","Bangalore","VILLAGE","Laxmi Sagara","Rural",216,1007,512,495,146,74,72,201,105,96,29,16,13,641,353,288,366,159,207,445,295,150,444,294,150,83,66,17,9,5,4,3,3,0,349,220,129,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,217,345,0.491760624457936,0.228401191658391,0.285998013902681,0.558093346573982,0.881827209533267,0.00173460537727667,0.00198609731876862,"4"
